fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,0.99609375,1,0,0,,,,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,0,0,34,,,,,,,,,,,,,,,,,,2,0,1.23300782478,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,1,1,10,,,,,,,,,,,,,,,,,,2,0,1.39960622404,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,2,2,6,,,,,,,,,,,,,,,,,,None,0,,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,3,3,55,,,,,,,,,,,,,,,,,,2,0,1.04967439972,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,4,4,31,,,,,,,,,,,,,,,,,,2,0,1.1662892335,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,5,5,17,,,,,,,,,,,,,,,,,,4,1,1.06631647851,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,6,6,53,,,,,,,,,,,,,,,,,,2,0,1.46618749854,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,7,7,38,,,,,,,,,,,,,,,,,,4,1,1.18297464145,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,8,8,54,,,,,,,,,,,,,,,,,,4,1,1.06629901091,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,9,9,2,,,,,,,,,,,,,,,,,,2,1,1.08302185029,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,10,10,9,,,,,,,,,,,,,,,,,,2,1,1.03300787591,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,AB,2,4,0,11,11,14,,,,,,,,,,,,,,,,,,2,0,1.54949197935,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,12,12,58,,,,,,,,,,,,,,,,,,4,1,1.54950342593,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,13,13,20,,,,,,,,,,,,,,,,,,2,1,0.983017218733,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,14,14,40,,,,,,,,,,,,,,,,,,2,1,1.36621853301,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/3.jpg,stim/latef.jpg,CD,2,4,0,15,15,32,,,,,,,,,,,,,,,,,,4,1,0.949629657031,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/6.jpg,stim/latef.jpg,EF,1,2,0,16,16,44,,,,,,,,,,,,,,,,,,2,1,1.18294852425,,,,,,2015_Nov_19_1442,P7,PLC_L_D2S1,NHG,60.0150977563,
