fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,-0.2484375,0.705078125,1,0,0,,,,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,0,0,13,,,,,,,,,,,,,,,,,,2,0,1.16641585859,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,1,1,47,,,,,,,,,,,,,,,,,,4,0,1.03392988147,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,2,2,33,,,,,,,,,,,,,,,,,,2,0,1.51617538581,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,3,3,8,,,,,,,,,,,,,,,,,,4,0,1.16625468626,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,4,4,48,,,,,,,,,,,,,,,,,,4,0,1.43287784031,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,2,4,0,5,5,58,,,,,,,,,,,,,,,,,,2,0,1.23292171082,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,6,6,3,,,,,,,,,,,,,,,,,,4,0,1.0496503968,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,7,7,35,,,,,,,,,,,,,,,,,,4,1,1.24960395788,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,8,8,44,,,,,,,,,,,,,,,,,,4,0,0.916371282815,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,9,9,45,,,,,,,,,,,,,,,,,,4,0,1.08295777535,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,10,10,9,,,,,,,,,,,,,,,,,,4,0,0.899604984944,,,,,,2016_Sep_01_1310,P9,PLC_L_D1S1,NHGX,60.0241648256,
