fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/negf.jpg,stim/posf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,EF,1,2,0,0,0,48,,,,,,,,,,,,,,,,,,4,0,1.24965541612,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,1,1,6,,,,,,,,,,,,,,,,,,2,1,1.44950634657,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,2,2,50,,,,,,,,,,,,,,,,,,2,0,1.18290139773,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,AB,2,4,0,3,3,10,,,,,,,,,,,,,,,,,,2,0,1.54945995293,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,4,4,2,,,,,,,,,,,,,,,,,,None,0,,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,5,5,24,,,,,,,,,,,,,,,,,,4,0,0.733147034985,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,6,6,37,,,,,,,,,,,,,,,,,,2,0,0.91635663792,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,CD,2,4,0,7,7,39,,,,,,,,,,,,,,,,,,2,0,0.966339844061,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/4.jpg,stim/latef.jpg,AB,1,2,0,8,8,8,,,,,,,,,,,,,,,,,,4,0,1.11632371787,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,9,9,20,,,,,,,,,,,,,,,,,,2,1,0.883091742167,,,,,,2016_Sep_26_1442,P16,PLC_L_D1S1,NHGX,60.0184053856,
