fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,0.890625,1,0,0,,,,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,0,0,25,,,,,,,,,,,,,,,,,,2,1,1.44947446711,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,1,1,19,,,,,,,,,,,,,,,,,,None,0,,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,2,2,7,,,,,,,,,,,,,,,,,,2,1,1.04964848084,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,3,3,57,,,,,,,,,,,,,,,,,,2,0,1.34951942316,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,4,4,51,,,,,,,,,,,,,,,,,,2,0,1.38288330163,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/3.jpg,stim/latef.jpg,EF,2,4,0,5,5,50,,,,,,,,,,,,,,,,,,2,0,1.33288604146,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,6,6,10,,,,,,,,,,,,,,,,,,4,1,1.29957877008,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/5.jpg,stim/latef.jpg,AB,2,4,0,7,7,17,,,,,,,,,,,,,,,,,,None,0,,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
stim/negf.jpg,stim/posf.jpg,stim/4.jpg,stim/1.jpg,stim/latef.jpg,CD,1,2,0,8,8,27,,,,,,,,,,,,,,,,,,2,1,1.16627144758,,,,,,2016_Sep_21_1425,P15,PLC_L_D1S1,NHGX,60.0201702357,
