fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,1.0,1,0,0,,,,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,0,0,15,,,,,,,,,,,,,,,,,,4,1,0.733060757962,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,1,1,21,,,,,,,,,,,,,,,,,,2,1,0.816302071781,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,2,2,44,,,,,,,,,,,,,,,,,,2,1,1.04963883264,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,3,3,23,,,,,,,,,,,,,,,,,,2,1,0.999657922655,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,4,4,38,,,,,,,,,,,,,,,,,,4,1,0.816410981831,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/negf.jpg,stim/posf.jpg,stim/2.jpg,stim/4.jpg,stim/latef.jpg,AB,2,4,0,5,5,18,,,,,,,,,,,,,,,,,,4,1,1.06621846821,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/3.jpg,stim/latef.jpg,EF,1,2,0,6,6,49,,,,,,,,,,,,,,,,,,2,1,1.0496613978,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,7,7,34,,,,,,,,,,,,,,,,,,2,0,1.08297603561,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,8,8,37,,,,,,,,,,,,,,,,,,4,1,1.23287029695,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/2.jpg,stim/latef.jpg,AB,1,2,0,9,9,5,,,,,,,,,,,,,,,,,,2,1,1.0662923561,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
stim/negf.jpg,stim/posf.jpg,stim/6.jpg,stim/5.jpg,stim/latef.jpg,CD,1,2,0,10,10,29,,,,,,,,,,,,,,,,,,4,0,1.04965619485,,,,,,2016_Sep_01_0845,P11,PLC_L_D1S1,NHGX,60.015476418,
