fb_corr,fb_incorr,symbol2,symbol1,fb_late,pair,position,correct,block_01.thisRepN,block_01.thisTrialN,block_01.thisN,block_01.thisIndex,block_02.thisRepN,block_02.thisTrialN,block_02.thisN,block_02.thisIndex,block_03.thisRepN,block_03.thisTrialN,block_03.thisN,block_03.thisIndex,block_04.thisRepN,block_04.thisTrialN,block_04.thisN,block_04.thisIndex,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,buttonBox_2.keys,buttonBox_2.corr,buttonBox_2.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,date,Participant,expName,Group,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,0.9984375,0.8203125,1,0,0,,,,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,0,0,55,,,,,,,,,,,,,,,,,,4,1,0.999716388161,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,1,1,52,,,,,,,,,,,,,,,,,,4,1,1.01633684432,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,2,2,50,,,,,,,,,,,,,,,,,,4,1,0.799727275256,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,3,3,17,,,,,,,,,,,,,,,,,,2,0,1.1996015654,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/4.jpg,stim/6.jpg,stim/latef.jpg,CD,2,4,0,4,4,32,,,,,,,,,,,,,,,,,,2,0,1.51621013898,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/3.jpg,stim/2.jpg,stim/latef.jpg,AB,2,4,0,5,5,16,,,,,,,,,,,,,,,,,,4,1,1.26624347846,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/posf.jpg,stim/negf.jpg,stim/2.jpg,stim/3.jpg,stim/latef.jpg,AB,1,2,0,6,6,7,,,,,,,,,,,,,,,,,,2,1,0.816393652703,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/negf.jpg,stim/posf.jpg,stim/5.jpg,stim/1.jpg,stim/latef.jpg,EF,2,4,0,7,7,58,,,,,,,,,,,,,,,,,,4,1,0.883035370278,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
stim/negf.jpg,stim/posf.jpg,stim/1.jpg,stim/5.jpg,stim/latef.jpg,EF,1,2,0,8,8,49,,,,,,,,,,,,,,,,,,2,1,0.783086674963,,,,,,2016_Sep_22_1348,P15,PLC_L_D2S1,NHGX,60.0207891618,
